sequence,id,status,latencyMs,outputTokens,candidate,rssBytes,systemUsedPercent,mpsDriverAllocatedBytes
0,greeting-01,ok,533.262,7,Chào buổi sáng.,246300672,73.6,4356653056
1,greeting-02,ok,845.611,15,Xin chúc mọi người có một ngày tốt lành.,286048256,74.3,4356734976
2,meeting-01,ok,1246.673,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",311115776,75.3,4356816896
3,meeting-02,ok,1014.168,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,313442304,75.4,4356816896
4,meeting-03,ok,1951.993,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,364281856,75.7,4356898816
5,meeting-04,ok,1079.423,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",375095296,75.9,4356980736
6,greeting-01,ok,396.55,7,Chào buổi sáng.,375603200,76.1,4356980736
7,greeting-02,ok,767.009,15,Xin chúc mọi người có một ngày tốt lành.,376848384,76.2,4356980736
8,meeting-01,ok,1175.918,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",378601472,76.5,4356980736
9,meeting-02,ok,1220.036,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,380239872,79.3,4356980736
10,meeting-03,ok,1944.768,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,382992384,80.8,4356980736
11,meeting-04,ok,1118.803,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",384548864,78.9,4356980736
12,greeting-01,ok,337.513,7,Chào buổi sáng.,385056768,78.6,4356980736
13,greeting-02,ok,826.838,15,Xin chúc mọi người có một ngày tốt lành.,386220032,78.6,4356980736
14,meeting-01,ok,1140.832,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",387956736,78.8,4356980736
15,meeting-02,ok,1052.646,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,389496832,81.6,4356980736
16,meeting-03,ok,1725.544,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,392232960,80.0,4356980736
17,meeting-04,ok,1065.879,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",393756672,79.6,4356980736
18,greeting-01,ok,384.975,7,Chào buổi sáng.,394280960,79.2,4356980736
